"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2021","76,67","75,60","78,43","75,23","30,61K","1,87%"
"30.11.2021","75,26","73,63","75,48","73,16","26,93K","1,63%"
"29.11.2021","74,05","73,66","75,76","73,66","26,05K","1,79%"
"26.11.2021","72,75","74,16","74,16","70,37","32,24K","-3,00%"
"25.11.2021","75,00","73,30","75,05","72,11","25,49K","2,71%"
"24.11.2021","73,02","69,52","73,18","68,94","29,86K","5,32%"
"23.11.2021","69,33","69,70","70,63","68,75","19,37K","-0,53%"
"22.11.2021","69,70","69,91","71,20","69,25","26,70K","-0,07%"
"19.11.2021","69,75","69,20","69,88","68,63","21,83K","1,56%"
"18.11.2021","68,68","67,31","69,25","66,26","24,08K","2,26%"
"17.11.2021","67,16","67,80","68,45","66,76","21,75K","-0,90%"
"16.11.2021","67,77","66,50","67,87","66,20","24,58K","1,54%"
"15.11.2021","66,74","63,55","66,97","63,55","27,84K","5,35%"
"12.11.2021","63,35","63,77","64,49","63,10","15,65K","-0,46%"
"11.11.2021","63,64","63,09","63,92","62,07","19,76K","1,13%"
"10.11.2021","62,93","60,15","63,25","59,83","29,26K","4,33%"
"09.11.2021","60,32","60,48","61,39","59,89","25,27K","-0,58%"
"08.11.2021","60,67","59,86","61,12","59,82","22,38K","1,80%"
"05.11.2021","59,60","59,70","61,23","59,29","22,23K","-0,60%"
"04.11.2021","59,96","59,58","61,43","58,92","26,08K","0,35%"
"03.11.2021","59,75","59,63","60,36","59,08","20,15K","0,49%"
"02.11.2021","59,46","56,90","59,65","56,90","30,69K","4,50%"
"01.11.2021","56,90","59,00","60,45","56,67","29,04K","-3,12%"
"29.10.2021","58,73","58,71","59,55","58,11","19,29K","0,03%"
"28.10.2021","58,71","59,56","59,56","57,93","19,33K","-1,92%"
"27.10.2021","59,86","59,81","60,16","58,84","19,56K","0,12%"
"26.10.2021","59,79","59,10","60,20","58,74","19,51K","0,72%"
"25.10.2021","59,36","58,80","59,77","58,55","16,48K","0,61%"
"22.10.2021","59,00","58,04","60,10","57,90","19,26K","1,51%"
"21.10.2021","58,12","57,35","58,62","56,50","26,14K","0,80%"
"20.10.2021","57,66","54,78","58,13","54,78","28,68K","4,44%"
"19.10.2021","55,21","57,71","58,35","54,02","44,17K","-3,83%"
"18.10.2021","57,41","58,75","59,68","57,25","27,98K","-1,66%"
"15.10.2021","58,38","61,62","61,95","58,28","23,56K","-4,87%"
"14.10.2021","61,37","59,09","61,78","59,09","28,65K","3,68%"
"13.10.2021","59,19","59,40","60,24","58,25","25,67K","-0,10%"
"12.10.2021","59,25","59,00","59,45","58,54","16,84K","0,19%"
"11.10.2021","59,14","58,17","60,24","58,05","20,45K","1,90%"
"08.10.2021","58,04","59,90","60,74","57,86","24,27K","-3,91%"
"07.10.2021","60,40","59,90","60,69","57,75","43,64K","0,75%"
"06.10.2021","59,95","64,85","64,95","58,90","58,22K","-6,74%"
"05.10.2021","64,28","63,64","65,40","63,62","32,85K","1,16%"
"04.10.2021","63,54","62,98","64,49","62,31","26,77K","1,29%"
"01.10.2021","62,73","61,85","63,82","61,10","24,34K","1,59%"
"30.09.2021","61,75","62,90","62,90","60,52","31,85K","-1,36%"
"29.09.2021","62,60","62,50","63,15","61,35","28,17K","0,82%"
"28.09.2021","62,09","65,30","65,75","61,63","38,45K","-4,02%"
"27.09.2021","64,69","64,10","65,00","63,60","32,27K","1,47%"
"24.09.2021","63,75","60,59","64,10","59,92","32,85K","5,16%"
"23.09.2021","60,62","60,50","61,15","59,14","29,26K","0,10%"
"22.09.2021","60,56","60,36","60,73","59,81","24,15K","0,63%"
"21.09.2021","60,18","60,63","61,36","59,85","23,59K","-0,45%"
"20.09.2021","60,45","59,11","61,03","58,50","33,56K","1,60%"
"17.09.2021","59,50","59,35","60,20","59,02","28,97K","0,61%"
"16.09.2021","59,14","59,25","60,81","58,38","39,53K","-0,49%"
"15.09.2021","59,43","59,64","61,44","58,74","41,13K","-0,70%"
"14.09.2021","59,85","61,57","61,98","59,28","39,63K","-2,68%"
"13.09.2021","61,50","61,00","62,69","60,89","29,33K","0,34%"
"10.09.2021","61,29","63,15","63,15","60,60","28,91K","-2,36%"
"09.09.2021","62,77","62,74","63,12","61,90","20,64K","-0,13%"
"08.09.2021","62,85","62,20","63,35","61,95","27,45K","1,09%"
"07.09.2021","62,17","62,72","62,88","61,66","22,13K","-0,29%"
"06.09.2021","62,35","61,41","63,17","61,41","22,18K","1,10%"
"03.09.2021","61,67","61,37","62,45","61,12","19,61K","0,44%"
"02.09.2021","61,40","60,42","61,75","59,55","19,34K","2,33%"
"01.09.2021","60,00","60,62","61,90","59,61","28,20K","-0,84%"
"31.08.2021","60,51","60,76","60,95","59,90","17,32K","-0,15%"
"30.08.2021","60,60","60,12","61,01","59,87","15,21K","1,17%"
"27.08.2021","59,90","57,03","59,95","56,87","24,36K","5,31%"
"26.08.2021","56,88","56,33","57,59","55,65","15,92K","0,62%"
"25.08.2021","56,53","56,76","57,12","55,81","16,18K","-0,46%"
"24.08.2021","56,79","55,54","56,85","55,27","15,71K","2,10%"
