Fecha,Precio
16/9/2021,"188,18"
15/9/2021,"172,78"
14/9/2021,"153,43"
13/9/2021,"154,16"
12/9/2021,"144,18"
11/9/2021,"150,78"
10/9/2021,"152,32"
9/9/2021,"141,71"
8/9/2021,"135,65"
7/9/2021,"127,36"
6/9/2021,"132,65"
5/9/2021,"128,70"
4/9/2021,"134,89"
3/9/2021,"137,70"
2/9/2021,"140,23"
1/9/2021,"132,47"
31/8/2021,"130,53"
30/8/2021,"124,45"
29/8/2021,"102,03"
28/8/2021,"110,22"
27/8/2021,"118,99"
26/8/2021,"122,76"
25/8/2021,"116,73"
24/8/2021,"102,06"
23/8/2021,"99,76"
22/8/2021,"100,51"
21/8/2021,"110,14"
20/8/2021,"117,14"
19/8/2021,"113,40"
18/8/2021,"105,40"
17/8/2021,"89,50"
16/8/2021,"88,92"
15/8/2021,"110,02"
14/8/2021,"114,63"
13/8/2021,"117,29"
12/8/2021,"115,83"
11/8/2021,"113,99"
10/8/2021,"111,88"
9/8/2021,"106,74"
8/8/2021,"85,29"
7/8/2021,"65,64"
6/8/2021,"97,22"
5/8/2021,"101,60"
4/8/2021,"105,24"
3/8/2021,"106,27"
2/8/2021,"103,07"
1/8/2021,"76,89"
31/7/2021,"61,09"
30/7/2021,"95,37"
29/7/2021,"98,83"
28/7/2021,"95,57"
27/7/2021,"99,05"
26/7/2021,"99,52"
25/7/2021,"93,20"
24/7/2021,"92,02"
23/7/2021,"95,89"
22/7/2021,"101,52"
21/7/2021,"106,57"
20/7/2021,"101,82"
19/7/2021,"98,80"
18/7/2021,"74,19"
17/7/2021,"90,95"
16/7/2021,"87,32"
15/7/2021,"87,18"
14/7/2021,"84,46"
13/7/2021,"94,39"
12/7/2021,"86,68"
11/7/2021,"90,77"
10/7/2021,"90,48"
9/7/2021,"93,50"
8/7/2021,"93,67"
7/7/2021,"98,72"
6/7/2021,"93,57"
5/7/2021,"93,85"
4/7/2021,"79,43"
3/7/2021,"94,23"
2/7/2021,"99,80"
1/7/2021,"92,44"
30/6/2021,"93,89"
29/6/2021,"93,49"
28/6/2021,"86,44"
27/6/2021,"64,21"
26/6/2021,"83,99"
25/6/2021,"86,57"
24/6/2021,"85,73"
23/6/2021,"89,88"
22/6/2021,"89,53"
21/6/2021,"82,55"
20/6/2021,"52,63"
19/6/2021,"87,22"
18/6/2021,"92,67"
17/6/2021,"93,00"
16/6/2021,"94,63"
15/6/2021,"90,95"
14/6/2021,"88,47"
13/6/2021,"79,2"
12/6/2021,"77,6"
11/6/2021,"82,53"
10/6/2021,"83,34"
9/6/2021,"81,6"
8/6/2021,"82,33"
7/6/2021,"79,69"
6/6/2021,"68,87"
5/6/2021,"76,17"
4/6/2021,"80,59"
3/6/2021,"79,80"
2/6/2021,"84,85"
1/6/2021,"86,56"
31/5/2021,"88,08"
30/5/2021,"71,93"
29/5/2021,"81,77"
28/5/2021,"88,95"
27/5/2021,"86,23"
26/5/2021,"80,72"
25/5/2021,"76,64"
24/5/2021,"67,40"
23/5/2021,"68,67"
22/5/2021,"66,41"
21/5/2021,"69,54"
20/5/2021,"79,79"
19/5/2021,"77,11"
18/5/2021,"77,65"
17/5/2021,"76,82"
16/5/2021,"26,65"
15/5/2021,"43,16"
14/5/2021,"71,53"
13/5/2021,"59,80"
12/5/2021,"53,04"
11/5/2021,"54,05"
10/5/2021,"59,26"
9/5/2021,"10,53"
8/5/2021,"47,25"
7/5/2021,"73,50"
6/5/2021,"73,11"
5/5/2021,"75,71"
4/5/2021,"81,27"
3/5/2021,"73,54"
2/5/2021,"61,39"
1/5/2021,"59,36"
30/4/2021,"79,29"
29/4/2021,"74,67"
28/4/2021,"74,40"
27/4/2021,"77,95"
26/4/2021,"75,99"
25/4/2021,"61,09"
24/4/2021,"57,31"
23/4/2021,"68,56"
22/4/2021,"74,41"
21/4/2021,"79,60"
20/4/2021,"78,58"
19/4/2021,"79,03"
18/4/2021,"64,54"
17/4/2021,"64,19"
16/4/2021,"68,93"
15/4/2021,"68,19"
14/4/2021,"73,96"
13/4/2021,"75,50"
12/4/2021,"63,04"
11/4/2021,"52,01"
10/4/2021,"65,01"
9/4/2021,"71,87"
8/4/2021,"69,78"
7/4/2021,"66,11"
